Time,GeneratorId,GenerationRate
12:30:00 AM,172,0
12:30:00 AM,173,0
12:30:00 AM,174,0
12:30:00 AM,175,0
12:30:00 AM,176,0
12:30:00 AM,177,0
12:30:00 AM,178,0
12:30:00 AM,179,0
12:30:00 AM,180,0
12:30:00 AM,181,0
12:30:00 AM,182,0
12:30:00 AM,183,0
12:30:00 AM,184,0
12:30:00 AM,185,0
12:30:00 AM,186,0
12:30:00 AM,187,0
12:30:00 AM,188,0
12:30:00 AM,189,0
12:30:00 AM,190,0
12:30:00 AM,191,0
12:30:00 AM,192,0
12:30:00 AM,193,0
12:30:00 AM,194,0
12:30:00 AM,195,0
12:30:00 AM,196,0
12:30:00 AM,197,0
12:30:00 AM,198,0
12:30:00 AM,199,0
12:30:00 AM,200,0
12:30:00 AM,201,0
12:30:00 AM,202,0
12:30:00 AM,203,0
12:30:00 AM,204,0
12:30:00 AM,205,0
12:30:00 AM,206,0
12:30:00 AM,207,0
12:30:00 AM,208,0
12:30:00 AM,209,0
12:30:00 AM,210,0
12:30:00 AM,211,0
12:30:00 AM,212,0
12:30:00 AM,213,0
12:30:00 AM,214,0
12:30:00 AM,215,0
12:30:00 AM,216,0
12:30:00 AM,217,0
12:30:00 AM,218,0
12:30:00 AM,219,0
12:30:00 AM,220,0
12:30:00 AM,221,0
12:30:00 AM,222,0
12:30:00 AM,223,0
12:30:00 AM,224,0
12:30:00 AM,225,0
12:30:00 AM,226,0
12:30:00 AM,227,0
12:30:00 AM,228,0
12:30:00 AM,229,0
12:30:00 AM,230,0
12:30:00 AM,231,0
12:30:00 AM,232,0
12:30:00 AM,233,0
12:30:00 AM,234,0
12:30:00 AM,235,0
12:30:00 AM,236,0
12:30:00 AM,237,0
12:30:00 AM,238,0
12:30:00 AM,239,0
12:30:00 AM,240,0
12:30:00 AM,241,0
12:30:00 AM,242,0
12:30:00 AM,243,0
12:30:00 AM,244,0
12:30:00 AM,245,0
12:30:00 AM,246,0
12:30:00 AM,247,0
12:30:00 AM,248,0
12:30:00 AM,249,0
12:30:00 AM,250,0
12:45:00 AM,1,0
12:45:00 AM,2,0
12:45:00 AM,3,0
12:45:00 AM,4,0
12:45:00 AM,5,0
12:45:00 AM,6,0
12:45:00 AM,7,0
12:45:00 AM,8,0
12:45:00 AM,9,0
12:45:00 AM,10,0
12:45:00 AM,11,0
12:45:00 AM,12,0
12:45:00 AM,13,0
12:45:00 AM,14,0
12:45:00 AM,15,0
12:45:00 AM,16,0
12:45:00 AM,17,0
12:45:00 AM,18,0
12:45:00 AM,19,0
12:45:00 AM,20,0
12:45:00 AM,21,0
12:45:00 AM,22,0
12:45:00 AM,23,0
12:45:00 AM,24,0
12:45:00 AM,25,0
12:45:00 AM,26,0
12:45:00 AM,27,0
12:45:00 AM,28,0
12:45:00 AM,29,0
12:45:00 AM,30,0
12:45:00 AM,31,0
12:45:00 AM,32,0
12:45:00 AM,33,0
12:45:00 AM,34,0
